0.976191 0.03755 	0.0310 		0.0396 		0.0404		0.0310	0.0404
0.976191 0.0140625 	0.0201 		0.0132 		0.0063		0.0063	0.0201
1.69048 0.0552375 	0.0494 		0.0569 		0.0586		0.0494	0.0586
1.69048 0.043575 	0.0483 		0.0432 		0.0360		0.0360	0.0483
3.07143 -0.235575 	-0.2328 	-0.2353 	-0.2425		-0.2425	-0.2328
3.07143 -0.130113 	-0.1380 	-0.1254 	-0.1379		-0.1380	-0.1254
4.21429 -0.200163 	-0.2020 	-0.1991 	-0.2018		-0.2020	-0.1991
5.16667 -0.159812 	-0.1560 	-0.1612 	-0.1605		-0.1612	-0.1560
5.16667 0.0171 	0.0137 		0.0186 		0.0164		0.0137	0.0186
